Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
136,8383;0;-0,002116203;0;-45,41837;-4,829673E-06;4,829673E-06;270;0,4535705;1,836462;0,5599254;344,7485;69,44073;328,5235;-0,3241022;0,5212792;1,613487;-6,70817;-0,2143114;7,234865;1,917441;-6,638565;1,303192;23,47537;-65,60617;33,8046
137,8969;0;-0,002108574;0;-45,48054;3,920698E-06;9,465408E-06;135;0,4079425;1,274641;0,3845598;47,24834;72,5465;323,4221;0,861957;1,152013;-0,3240105;0,3393321;13,3782;1,667303;-4,311154;-0,97097;2,020289;-33,43941;-24,89786;46,76497
139,5211;0;-0,002142906;0;-45,41045;0;0;0;0,4508107;1,84191;0,6115919;343,5091;63,53443;339,4721;0,8325526;-0,5417545;0,4261625;2,738889;-16,31028;1,907304;5,032173;2,18156;-0,106821;93,50916;24,56503;-11,98683
141,8504;0;-0,002116203;0;-45,45107;-4,732704E-06;1,96035E-06;315;0,4245175;1,601874;0,2641279;355,7194;82,69442;321,0685;0,2773648;-0,8447198;0,2544814;1,67425;-10,73316;6,074178;3,767583;0,647579;-1,500743;68,47446;-5,966686;-31,33391
143,9262;0;-0,0020895;0;-45,37809;4,732703E-06;1,960351E-06;45,00002;0,4251895;1,609181;0,3688583;356,2964;74,30515;336,1756;0,3441368;-0,6163021;-0,3058738;1,719894;-14,50138;-2,243394;1,333243;2,620703;-0,265663;29,02057;32,55591;-28,47647
145,1139;0;-0,002084732;0;-45,07535;4,829673E-06;4,829673E-06;90;0,5543528;1,602198;0,3066454;2,677987;72,88603;346,3813;0,4414583;0,4235053;-1,116046;-2,534316;-4,869615;-10,99548;-2,624781;3,341792;-0,8799077;-6,430096;40,53271;-5,630778
145,1634;0;-0,002099991;0;-45,17453;4,829673E-06;4,829673E-06;90;0,5563452;1,603799;0,2150121;1,955197;94,51256;335,9974;0,1734262;0,1457628;-1,577894;-9,476086;-5,929235;-4,652348;-2,844962;6,245682;-2,685909;-8,994177;56,18588;-52,77831
147,6142;0;-0,002086639;0;-45,18832;0;0;0;0,5243383;1,844516;0,3304979;334,6403;81,03697;336,8458;0,551044;-1,001339;-0,06651157;1,508557;-13,80814;1,736422;2,976415;1,935347;-0,4286205;47,90859;16,01022;4,194112
147,7017;0;-0,002112389;0;-45,36443;0;0;0;0,5636221;1,655246;0,3360675;0,686465;79,23379;328,6576;0,3616596;-2,139612;0,06506578;-5,616483;-11,60823;1,648331;4,785901;2,554691;-1,322964;28,42215;27,14779;8,369277
148,3139;0;-0,00215435;0;-45,54756;0;1,366038E-05;180;0,4959008;1,302914;0,3488935;41,15702;69,92447;334,8034;1,389465;1,771063;0,1034456;0,8294616;17,63186;-0,6860352;-5,095235;-1,861143;2,389844;-35,94518;17,99381;-0,9844742
148,9137;0;-0,002103806;0;-45,22539;0;0;0;0,5773186;1,826666;0,3249699;339,9648;76,61148;337,1549;0,7671902;-1,554987;0,1085074;-1,312749;-13,39877;0,8628259;4,313762;1,288811;-1,138256;37,93105;-1,709255;-26,38849
148,9763;0;-0,002121925;0;-45,3491;0;0;0;0,6056047;1,664301;0,3313057;2,782098;75,81216;334,8423;0,4236024;-2,408433;0,08466088;-9,625421;-12,78964;-1,343104;5,45519;2,402692;-0,7417641;1,629981;23,86805;-18,78456
150,4513;0;0;0;-45,74459;0;0;270;-0,5530391;1,362242;0,2098304;27,6166;343,0627;305,5427;-1,419741;0,0325279;0,3430772;-14,06378;-3,675194;-6,095798;2,93472;-2,954216;1,611952;67,49355;-68,71542;34,55363
151,0519;0;0;0;-45,47488;0;0;45,00002;-0,4545578;1,640224;0,2533147;5,069942;358,9392;332,468;0,9202074;-0,4936826;0,3275054;2,371154;-26,36263;-2,268192;1,01184;4,812027;-1,33476;80,24239;63,66696;-60,33302
151,5395;0;0;0;-45,62309;0;0;225;-0,4304377;1,297836;0,2322351;43,50198;345,6836;326,2657;-1,123283;1,105823;1,028908;-9,950458;24,44042;-2,93456;-2,168699;-6,156899;4,302055;-61,30909;-35,52328;1,994594
151,6393;0;0;0;-45,82141;0;0;225;-0,5864937;1,561338;0,2455302;9,076172;332,8597;347,117;-1,408923;2,461659;-0,1437096;4,156919;-0,3801464;-13,36096;-4,818158;-4,392247;2,647576;5,316143;45,26223;-32,01568
154,4148;0;0;0;-45,49782;0;0;90;-0,4035344;1,844834;0,3213114;350,6812;348,6306;355,0468;1,52748;0,92186;0,29887;16,5027;-6,851023;-6,434958;-1,761933;4,219273;-0,565958;-13,59217;76,50865;-58,79493
154,4767;0;0;0;-45,62228;0;0;90;-0,2550313;1,8531;0,2923597;348,2283;17,72847;333,5685;2,104967;0,250867;-0,3065965;-1,8177;-13,97209;-9,617534;-2,788473;6,880361;-2,748654;1,636816;4,223003;-22,91313
155,5145;0;0;0;-45,65372;0;0;135;-0,7193203;1,28238;0,2684106;41,14897;328,0981;307,2793;0,8279933;1,468946;1,615791;14,75062;12,05786;-4,998543;-6,069645;-0,4517017;-0,3295942;-27,38648;14,04255;-10,8959
