Time;Heart Rate
137,1134;0
137,1258;0
137,1391;0
137,1507;0
137,1631;0
137,1756;0
137,188;0
137,2003;0
137,213;0
137,2253;0
137,2381;0
137,2504;0
137,2627;0
137,2753;0
137,2887;0
137,3006;0
137,3129;0
137,3254;0
137,3386;0
137,351;0
137,3629;0
137,3755;0
137,3879;0
137,4005;0
137,4131;0
137,4257;0
137,4388;0
137,4521;0
137,465;0
137,4784;0
137,4884;0
137,4999;0
137,5123;0
137,5249;0
137,5374;0
137,55;0
137,5624;0
137,576;0
137,588;0
137,6001;0
137,6133;0
137,6254;0
137,6381;0
137,6532;0
137,6654;0
137,6783;0
137,6917;0
137,7041;0
137,7174;0
137,73;0
137,7457;0
137,7586;0
137,7698;0
137,7817;0
137,7926;0
137,8049;0
137,8183;0
137,8315;0
137,8435;0
137,8565;0
137,87;0
137,8824;0
137,8969;0
137,9106;0
137,9219;0
137,9337;0
137,9446;0
137,9559;0
137,9675;0
137,9805;0
137,9925;0
138,0052;0
138,0178;0
138,0305;0
138,0432;0
138,0589;0
138,0723;0
138,0834;0
138,0946;0
138,1052;0
138,1184;0
138,131;0
138,1438;0
138,1565;0
138,1693;0
138,1815;0
138,1945;0
138,2089;0
138,2224;0
138,2334;0
138,2449;0
138,2572;0
138,2699;0
138,2826;0
138,2953;0
138,3078;0
138,3203;0
138,3333;0
138,3461;0
138,3589;0
138,371;0
138,3838;0
138,3961;0
138,4094;0
138,4216;0
138,434;0
138,4467;0
138,4595;0
138,4719;0
138,4843;0
138,4971;0
138,5118;0
138,5251;0
138,5371;0
138,5478;0
138,5592;0
138,571;0
138,5832;0
138,5961;0
138,6083;0
138,6214;0
138,6338;0
138,6469;0
138,6599;0
138,6722;0
138,6828;0
138,6956;0
138,7084;0
138,7204;0
138,7336;0
138,7458;0
138,7594;0
138,7738;0
138,786;0
138,7982;0
138,813;0
138,8258;0
138,8371;0
138,8477;0
138,86;0
138,8714;0
138,8829;0
138,8954;0
138,9079;0
138,9208;0
138,9337;0
138,947;0
138,9591;0
138,9722;0
138,9883;0
138,9999;0
139,0107;0
139,0231;0
139,0355;0
139,0487;0
139,0603;0
139,0725;0
139,0831;0
139,0961;0
139,1089;0
139,1228;0
139,136;0
139,1484;0
139,1601;0
139,172;0
139,1845;0
139,1989;0
139,2118;0
139,2242;0
139,2368;0
139,2486;0
139,2611;0
139,2737;0
139,2863;0
139,2972;0
139,309;0
139,322;0
139,3349;0
139,3473;0
139,3598;0
139,3726;0
139,3851;0
139,3983;0
139,4126;0
139,4256;0
139,4396;0
139,4532;0
139,464;0
139,4753;0
139,4857;0
139,4984;0
139,5087;0
139,5211;0
139,5361;0
139,5466;0
139,5592;0
139,5724;0
139,5846;0
139,5982;0
139,6103;0
139,6248;0
139,6376;0
139,6503;0
139,6624;0
139,6746;0
139,6882;0
139,6993;0
139,7118;0
139,7237;0
139,7358;0
139,7488;0
139,7615;0
139,7729;0
139,7848;0
139,7979;0
139,8103;0
139,823;0
139,8375;0
139,8511;0
139,8625;0
139,8749;0
139,8873;0
139,9004;0
139,9124;0
139,925;0
139,9363;0
139,9472;0
139,9607;0
139,9729;0
139,9851;0
139,998;0
140,0112;0
140,0236;0
140,0363;0
140,0508;0
140,0652;0
140,0798;0
140,091;0
140,1019;0
140,1139;0
140,1256;0
140,138;0
140,1502;0
140,1609;0
140,1729;0
140,1853;0
140,1982;0
140,2111;0
140,2243;0
140,2369;0
140,2489;0
140,2634;0
140,2752;0
140,2874;0
140,3003;0
140,3126;0
140,3251;0
140,3367;0
140,3493;0
140,3602;0
140,3727;0
140,3849;0
140,3979;0
140,4111;0
140,4237;0
140,4365;0
140,4483;0
140,4616;0
140,4763;0
140,4891;0
140,5005;0
140,5128;0
140,5253;0
140,5401;0
140,5538;0
140,5642;0
140,5761;0
140,5862;0
140,5973;0
140,6088;0
140,622;0
140,6346;0
140,6495;0
140,6603;0
140,6723;0
